Model,Accuracy,Precision,Recall,F1,ROC-AUC
Decision Tree,0.9956508232370301,0.9937908496732026,0.9970491803278688,0.995417348608838,0.9997755820930188
Random Forest,0.9940975458216837,0.997029702970297,0.9904918032786886,0.99375,0.9998215495383901
